college_code,Institute Name,Institute Address,Region,District,Status,Autonomy Status,Minority Status
03200,"Hope Foundation and research center's  Finolex Academy of Management and Technology, Ratnagiri","P- 60, P-60/1, MIDC, Mirjole Block, Ratnagiri",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority
03201,"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai","Rizvi Educational Complex, Off Carter Road, Sherly Rajan Village, Bandra (W), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Religious Minority - Muslim
03202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,"At - Ambav (Devrukh).Tal Sangameshwar,Dist.- Ratnagiri",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority
03203,"Atharva College of Engineering,Malad(West),Mumbai","S. No. 263, Plot No. 8-12, Malad-Marve Rd, Charkop Naka, Malad(W), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Non-Minority
03204,"St. Francis Institute of Technology,Borivali, Mumbai","Mount Poinsur, S.V.P. Road, Borivali ( W ), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Religious Minority - Christian
03206,"S.S.P.M.'s College of Engineering, Kankavli","A/P-Harkul Budruk, Tal- Kankavali. Dist-Sindhudurg",Mumbai,Sindhudurg,Un-Aided,Non-Autonomous,Non-Minority
03207,"Mahatma Education Society's Pillai College of Engineering, New Panvel","Dr. K.M.Vasudevan Pillais' Campus Plot No. 10, Sector 16, New Panvel, Dist.Raigad",Mumbai,Raigad,Un-Aided,Autonomous,Linguistic Minority - Malyalam
03208,"Don Bosco Institute of Technology, Mumbai","Premier Automobiles Road,Opp. Fiat Company, Kurla (West), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Non-Autonomous,Religious Minority - Roman Catholics
03209,K J Somaiya Institute of Technology,"Somaiya Auryvihar Complex,  Near Everard Nagar Eastern Express Highway, Sion (East), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Linguistic Minority - Gujarathi
03210,"Excelsior Education Society's K.C. College of Engineering and Management Studies and Research, Kopri, Thane (E)","Mith bunder Road, Near Sadguru Gardens, Kopri, Thane (E)",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Punjabi
03211,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai","Sri. Chandrsekarendra Saraswathy Vidyapuram, Sector-5, Plot 1C&1E, Nerul Dist. Raigad",Mumbai,Thane,Un-Aided,Autonomous,Linguistic Minority - Tamil
03212,"Watumull Institute of  Engineering & Technology, Ulhasnagar","Plot  No.157, Shrimati S H Mansukhani  Road ,Opposite Ulhasnagar Railway Station (West) , Ulhasnagar ,Dist.Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Sindhi
03214,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai","Opposite S.L.Raheja Hospital, Mahim Causeway, Mahim(W),   Mumbai",Mumbai,Mumbai City,Un-Aided,Non-Autonomous,Religious Minority - Christian
03215,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai","Bhavan's Campus, Versova Road, Munshi Nagar, Andheri (West), Mumbai",Mumbai,Mumbai Suburban,Un-Aided,Autonomous,Non-Minority
03216,"Gharda Foundation's Gharda Institute of Technology,Khed, Ratnagiri","A & Po. Lavel Tal Khed,  Dist. Ratnagiri",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority
03217,"Vighnaharata Trust's  Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane","At Asangaon, Tal Shahapur, Opp Railway station, Dist : Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority
03218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar","St. John Technical Education Complex, Village Vevoor,Manor Road  Palghar (E)",Mumbai,Palghar,Un-Aided,Autonomous,Religious Minority - Christian
03219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur","Sapgaon, Taluka Shahapur  Dist. Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Linguistic Minority - Hindi
03220,Yadavrao Tasgaonkar College of Engineering & Management,"Chandhai, Neral - Kadav Raod, Post Nasrapur, Taluka Karjat, Dist. Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority
03221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar","AT SHIRGAON, POST:- VIRAR (EAST), TAL -VASAI,DIST.THANE",Mumbai,Palghar,Un-Aided,Non-Autonomous,Non-Minority
