college_code,college_name,branch_id,branch_name,seat_type,category_code,percentile,is_tfws,is_ews
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,State Level,DEFOBCS,63.5370419,False,False
01012,"Government College of Engineering,Yavatmal",0101219110,Civil Engineering,State Level,ORPHAN,63.2340107,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,GOPENH,84.2156613,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,GSCH,74.1162962,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,GSTH,46.3657898,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,GOBCH,80.5358903,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,LOPENH,85.8772819,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,LSCH,78.5613347,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,LNT3H,52.0276576,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Home University Candidates,LOBCH,84.7973394,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Home University Seats Allotted to Other Than Home University Candidates,GSEBCH,77.8250739,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOPENO,93.6711065,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSCO,82.1493863,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GSTO,72.5041736,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,GOBCO,89.7106951,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,LOPENO,86.0755637,False,False
01012,"Government College of Engineering,Yavatmal",0101224510,Computer Engineering,Other Than Home University Seats Allotted to Other Than Home University Candidates,LSCO,79.4895283,False,False
