college_code,college_name,University
4118,"Bapurao Deshmukh College of Engineering, Sevagram",Rashtrasant Tukadoji Maharaj Nagpur University
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering &  Technology, Nagpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
4136,"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4141,"Shriram Gram Vikas Shikshan Sanstha, Vilasrao Deshmukh College of Engineering and Technology, Nagpur","Dr. Babasaheb Ambedkar Technological University,Lonere"
4142,"G H Raisoni College of Engineering & Management, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",Rashtrasant Tukadoji Maharaj Nagpur University
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4147,"K.D.K. College of Engineering, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",Rashtrasant Tukadoji Maharaj Nagpur University
