college_code,college_name,district
6326,Karmayogi Institute of Technology,Other
6004,"Government College of Engineering & Research, Avasari Khurd",Other
6324,"Rajgad Dnyanpeeth's Shri Chhatrapati Shivajiraje College of Engineering, Bhor",Other
6320,"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",Other
6182,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)",Other
6183,"Al-Ameen Educational and Medical Foundation, College of Engineering, Koregaon, Bhima",Other
6184,"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",Other
6185,Sinhgad Institute of Technology,Other
6217,"Shri. Balasaheb Mane Shikshan  Prasarak Mandal's, Ashokrao Mane Group of Institutions",Other
6220,"Shri Vithal Education and Research Institute's College of Engineering, Pandharpur",Other
6268,"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Other
6275,"Shivnagar Vidya Prasarak Mandal's College of Engineering, Malegaon-Baramati",Other
6277,"Dr. J. J. Magdum  Charitable Trust's Dr. J.J. Magdum College of Engineering, Jaysingpur",Other
6303,"Dr. Ashok Gujar Technical Institute's  Dr. Daulatrao Aher College of Engineering, Karad",Other
6307,"Dhole Patil Education Society, Dhole Patil College of Engineering, Wagholi, Tal. Haveli",Other
6311,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi",Other
6313,"Jaywant College of Engineering & Polytechnic , Kille Macchindragad Tal. Walva District- Sangali",Other
6315,Sanjeevan Group of Institutions,Other
6317,"Sharad Institute of Technology College of Engineering, Yadrav(Ichalkaranji)",Other
6318,"Abhinav Education Society's College of Engineering and Technology (Degree), Wadwadi",Other
6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College of Engineering, Vangali, Tal. Indapur",Other
6322,"Shree Gajanan Maharaj Shikshan Prasarak Manda'l Sharadchandra Pawar College of Engineering, Dumbarwadi",Other
6222,"Dattajirao Kadam Technical Education Society's Textile & Engineering Institute, Ichalkaranji.",Other
5184,"Amruta Vaishnavi Education & Welfare Trust's Shatabdi Institute of Engineering & Research, Agaskhind Tal. Sinnar",Other
5303,"Hon. Shri. Babanrao Pachpute Vichardhara Trust, Group of Institutions (Integrated Campus)-Parikrama, Kashti Shrigondha,",Other
3202,Rajendra Mane College of Engineering & Technology  Ambav Deorukh,Other
3206,"S.S.P.M.'s College of Engineering, Kankavli",Other
4118,"Bapurao Deshmukh College of Engineering, Sevagram",Other
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Other
3207,"Mahatma Education Society's Pillai College of Engineering, New Panvel",Other
3209,K J Somaiya Institute of Technology,Other
3546,Devi Mahalaxmi College of Engineering and Technology,Other
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Other
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Other
3212,"Watumull Institute of  Engineering & Technology, Ulhasnagar",Other
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Other
3219,"Koti Vidya Charitable Trust's  Smt. Alamuri Ratnamala Institute of Engineering and Technology,  Sapgaon, Tal. Shahapur",Other
3220,Yadavrao Tasgaonkar College of Engineering & Management,Other
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",Other
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",Other
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",Other
3277,Pravin Rohidas Patil College of Engineering & Technology,Other
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",Other
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",Other
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Other
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",Other
3198,"Konkan Gyanpeeth College of Engineering, Karjat",Other
3194,"Vidyavardhini's College of Engineering and Technology, Vasai",Other
5322,"Jamia Institute Of Engineering And Management Studies, Akkalkuwa",Other
3025,Svkm's Shri Bhagubhai Mafatlal Polytechnic & College of Engineering,Other
3014,"Sardar Patel College of Engineering, Andheri",Other
2111,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar",Other
4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",Other
2131,"Shree Tuljabhavani College of Engineering, Tuljapur",Other
2008,"Government College of Engineering,  Chhatrapati Sambhajinagar",Other
4679,"Karanjekar College of Engineering & Management, Sakoli",Other
5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Engineering, Sangamner",Other
5168,"T.M.E. Society's J.T.Mahajan College of Engineering, Faizpur",Other
3033,"Dr. Babasaheb Ambedkar Technological University, Lonere",Other
1268,"Siddhivinayak Technical Campus, School of Engineering & Research Technology, Shirasgon, Nile",Other
5160,"Sanjivani Rural Education Society's Sanjivani College of Engineering, Kopargaon",Other
2133,"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",Other
5170,"Hindi Seva Mandal's Shri Sant Gadgebaba College of Engineering & Technology, Bhusawal",Other
1265,"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",Other
5172,"R. C. Patel Institute of Technology, Shirpur",Other
2758,Sant Eknath College of Engineering,Other
2666,Mangaldeep College of Engineering,Other
1128,"Prof Ram Meghe College of Engineering  and Management, Badnera",Other
2641,Dr. V.K. Patil College of Engineering & Technology,Other
4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",Other
3147,"Saraswati Education Society, Yadavrao Tasgaonkar  Institute of Engineering & Technology, Karjat",Other
4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",Other
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",Palghar
3460,"Universal College of Engineering,Kaman Dist. Palghar",Palghar
2252,"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",Parbhani
