branch_id,college_code,branch_name
0350326310,03503,Artificial Intelligence (AI) and Data Science
0350329310,03503,Electrical Engineering
0350361210,03503,Mechanical Engineering
0354619110,03546,Civil Engineering
0354624510,03546,Computer Engineering
0354629310,03546,Electrical Engineering
0354661210,03546,Mechanical Engineering
0354691110,03546,Computer Science and Engineering(Artificial Intelligence and Machine Learning)
0400419110,04004,Civil Engineering
0400424210,04004,Computer Science and Engineering
0400429310,04004,Electrical Engineering
0400437210,04004,Electronics and Telecommunication Engg
0400446610,04004,Instrumentation Engineering
0400461210,04004,Mechanical Engineering
0402519110,04025,Civil Engineering
0402524210,04025,Computer Science and Engineering
0402529310,04025,Electrical Engineering
0402537210,04025,Electronics and Telecommunication Engg
0402561210,04025,Mechanical Engineering
0410419110,04104,Civil Engineering
0410424610,04104,Information Technology
0410425110,04104,Computer Technology
