college_code,Institute Name,Region,District,Status,Autonomy Status,Minority Status,Home University
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3460,"Universal College of Engineering,Kaman Dist. Palghar",Mumbai,Palghar,Un-Aided,Non-Autonomous,Linguistic Minority - Gujarathi,Mumbai University
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,Mumbai,Sindhudurg,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",Mumbai,Ratnagiri,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3465,"Ideal Institute of Technology, Wada, Dist.Thane",Mumbai,Palghar,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",Mumbai,Raigad,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3546,Devi Mahalaxmi College of Engineering and Technology,Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3471,"New Horizon Institute of Technology & Management, Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",Mumbai,Thane,Un-Aided,Non-Autonomous,Non-Minority,Mumbai University
3475,"A. P. Shah Institute of Technology, Thane",Mumbai,Thane,Un-Aided,Non-Autonomous,Religious Minority - Jain,Mumbai University
4004,"Government College of Engineering, Chandrapur",Nagpur,Chandrapur,Government,Non-Autonomous,Non-Minority,Gondwana University
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",Nagpur,Nagpur,Un-Aided,Non-Autonomous,Non-Minority,Rashtrasant Tukadoji Maharaj Nagpur University
